CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,LineCode,Description,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
42003,"Allegheny, PA",1,Real GDP (thousands of chained 2017 dollars),80225360,78287933,80263443,82101205,81456554,84210234,85119577,86471622,88585538,89570416,93098459
42003,"Allegheny, PA",3,Current-dollar GDP (thousands of current dollars),64809607,65665785,69410895,71999785,72246971,75504115,77604149,80278768,83430066,85781727,90428929
42005,"Armstrong, PA",1,Real GDP (thousands of chained 2017 dollars),2447952,2355535,2389244,2518822,2392065,2645809,2589257,2404321,2453492,2361397,2307695
42005,"Armstrong, PA",3,Current-dollar GDP (thousands of current dollars),2011845,2067793,2154416,2347304,2202597,2492986,2502319,2309324,2382779,2357104,2249693
42007,"Beaver, PA",1,Real GDP (thousands of chained 2017 dollars),6858445,7184618,7340268,7304818,6856530,7230359,7420365,7337428,7129739,7058556,6792537
42007,"Beaver, PA",3,Current-dollar GDP (thousands of current dollars),5521214,6184878,6469924,6541677,6202868,6579188,6889848,6799263,6678642,6840055,6630242
42009,"Bedford, PA",1,Real GDP (thousands of chained 2017 dollars),1326514,1362585,1426902,1581982,1513122,1576857,1599335,1537527,1519076,1523314,1516667
42009,"Bedford, PA",3,Current-dollar GDP (thousands of current dollars),1037894,1102094,1200168,1356987,1322608,1381334,1436854,1409899,1422433,1448735,1471022
42011,"Berks, PA",1,Real GDP (thousands of chained 2017 dollars),16999651,17724993,17623788,17774108,17111151,17551673,18077363,18221516,18566005,18942706,19769018
42011,"Berks, PA",3,Current-dollar GDP (thousands of current dollars),13779076,14950410,15289031,15738398,15424625,15937678,16670269,17073692,17570630,18226162,19276607
42013,"Blair, PA",1,Real GDP (thousands of chained 2017 dollars),5438855,5525970,5466313,5471724,5465177,5572848,5554266,5495715,5576289,5608926,5702495
42013,"Blair, PA",3,Current-dollar GDP (thousands of current dollars),4304840,4530731,4612628,4719367,4847408,4974602,5043764,5092472,5251589,5363527,5558760
42015,"Bradford, PA",1,Real GDP (thousands of chained 2017 dollars),1742216,1735158,1745999,1926926,2510145,2974194,3390152,3261201,3068991,3569827,3467310
42015,"Bradford, PA",3,Current-dollar GDP (thousands of current dollars),1747703,1800942,1876406,2127712,2695510,3334081,4019382,3761007,3650520,4260486,3325053
42017,"Bucks, PA",1,Real GDP (thousands of chained 2017 dollars),31296092,31397498,32561957,33190686,31910153,33298465,33319447,33043844,33571675,33934562,34142699
